X	Y	Z	Vp	Vs
73	91	140	2.189063	1.365657
63	45	86	2.171165	1.31025
33	45	112	3.148297	1.541832
77	25	128	3.182788	1.571563
127	85	86	3.278181	1.653792
113	5	118	2.976696	1.393912
107	171	92	2.889252	1.318535
67	71	196	2.642147	1.105531
133	125	113	3.052899	1.459599
93	5	80	3.260614	1.638649
127	85	134	2.98526	1.401294
93	105	88	3.196289	1.583201
93	105	192	2.924281	1.34873
73	5	109	3.272063	1.648518
103	65	184	2.980262	1.396986
97	25	196	3.273592	1.649836
43	85	16	3.23932	1.620294
33	45	124	2.165152	1.29994
17	115	11	3.14402	1.538145
57	25	118	3.391326	1.751323
83	65	83	3.263664	1.641278
123	45	133	3.145505	1.539425
73	5	199	3.249954	1.62946
107	171	160	3.251475	1.630772
107	191	8	3.068256	1.472837
93	5	91	3.055759	1.462064
127	85	0	3.266716	1.643909
27	5	171	3.175305	1.565113
73	91	171	2.128063	1.26187
143	71	9	3.218884	1.602678
53	5	94	3.409409	1.76691
103	45	106	2.877413	1.30833
83	65	153	3.022582	1.433465
83	65	131	3.145505	1.539425
57	25	121	2.978122	1.395141
133	125	120	3.186534	1.574792
27	5	166	3.183537	1.572209
7	191	0	3.077013	1.480385
107	85	168	3.18129	1.570272
7	31	2	3.095316	1.496162
43	85	12	2.156984	1.311987
127	165	153	2.881587	1.311928
37	165	19	3.16336	1.554817
143	15	16	2.980262	1.396986
83	65	126	3.074822	1.478497
77	25	178	2.168319	1.305423
123	45	11	3.270535	1.647201
87	85	145	3.128608	1.52486
107	131	96	3.374096	1.736471
93	125	193	2.700747	1.156044
113	5	103	3.186534	1.574792
107	171	118	3.394466	1.75403
73	5	139	2.18229	1.354364
113	5	163	2.14884	1.298204
83	45	157	3.110016	1.508834
37	191	9	3.002443	1.416106
63	45	145	2.143075	1.288488
73	91	120	2.839353	1.275522
73	5	96	3.440232	1.79348
97	25	179	2.164871	1.325403
103	65	107	2.925689	1.349944
97	25	195	3.16336	1.554817
17	115	7	3.249954	1.62946
103	65	175	2.916548	1.342064
103	65	168	2.76232	1.20912
107	171	179	3.098252	1.498693
83	65	168	3.02114	1.432223
73	5	195	3.395251	1.754707
83	165	192	2.953946	1.374301
103	65	110	2.903926	1.331185
57	25	150	3.064613	1.469696
97	25	129	3.052899	1.459599
77	25	133	2.148933	1.272269
73	191	5	2.220367	1.417127
27	5	144	2.159168	1.29004
93	5	113	3.190283	1.578024
27	5	18	2.153176	1.30576
77	111	134	2.178982	1.348803
73	191	7	2.953237	1.37369
57	25	154	2.78262	1.226618
93	105	108	2.107159	1.222739
83	65	121	3.214356	1.598775
17	115	0	2.192287	1.370806
83	65	91	3.142453	1.536795
93	125	161	2.989789	1.405198
83	45	99	2.145969	1.267112
103	65	129	3.026188	1.436574
27	5	17	2.132327	1.26963
53	125	21	3.37566	1.737819
107	191	21	3.247673	1.627494
113	5	159	2.19661	1.37814
83	165	113	2.182171	1.354159
37	165	13	2.152267	1.304329
113	5	117	2.970996	1.388999
33	45	191	3.270535	1.647201
77	111	178	2.786014	1.229544
123	45	171	2.789411	1.232472
73	91	162	2.140358	1.283657
53	125	197	2.866996	1.29935
127	165	190	2.85315	1.287415
83	65	97	2.18229	1.354364
53	5	82	3.098161	1.498615
103	45	99	2.153142	1.279684
103	65	176	2.918656	1.343881
107	85	159	3.152192	1.545189
53	125	142	3.060245	1.465931
27	5	110	3.313526	1.684259
63	45	80	3.162206	1.553822
127	165	139	3.262901	1.640621
33	45	137	2.842797	1.278491
103	45	170	3.179045	1.568337
27	5	197	3.070802	1.475031
53	5	174	3.256042	1.634708
143	65	4	3.212847	1.597474
93	105	164	2.906728	1.333599
57	25	115	3.360047	1.72436
73	5	89	3.401538	1.760126
83	65	120	3.131422	1.527285
93	5	81	3.285841	1.660395
43	85	81	3.0152	1.427103
73	191	6	2.876022	1.307131
57	25	107	3.378789	1.740516
37	165	18	3.143278	1.537506
107	111	136	2.755578	1.203308
133	125	18	2.16724	1.329241
27	5	142	2.158925	1.289593
113	5	165	2.17936	1.349422
77	25	82	3.129335	1.525487
77	111	192	2.606405	1.074721
83	45	129	3.172316	1.562536
53	5	173	3.242356	1.622911
143	65	22	2.209477	1.399225
27	5	91	3.233255	1.615066
133	125	141	2.861451	1.294571
73	5	112	2.164959	1.299616
123	45	158	2.974558	1.392069
33	45	83	3.131422	1.527285
63	45	173	2.97242	1.390226
37	191	3	2.160022	1.317282
7	165	8	2.190063	1.367228
43	85	168	2.930619	1.354194
77	25	114	3.308129	1.679607
33	45	157	2.203281	1.389085
103	65	140	2.164667	1.29913
53	125	17	3.314297	1.684924
83	65	83	3.263664	1.641278
83	65	150	3.099721	1.499959
93	125	199	2.761646	1.208538
87	85	157	2.716045	1.169231
143	51	7	2.178473	1.347975
127	165	146	3.058063	1.46405
77	111	159	2.135033	1.274359
87	85	189	2.978835	1.395756
27	5	87	3.071173	1.475351
127	165	131	3.096784	1.497427
133	125	10	3.1574	1.549679
73	91	98	2.170491	1.334772
93	125	108	2.138433	1.280167
83	65	150	3.099721	1.499959
97	25	194	3.246913	1.626839
103	45	104	2.998857	1.413015
83	65	197	2.881587	1.311928
53	5	108	2.188616	1.338811
43	85	95	3.288909	1.663039
127	85	96	3.391326	1.751323
7	31	20	2.142763	1.28799
67	71	175	2.151453	1.276968
93	105	176	2.86353	1.296362
127	165	100	3.164106	1.555459
73	91	176	2.84073	1.27671
127	85	180	3.249194	1.628805
123	45	128	3.165597	1.556745
133	125	105	3.21511	1.599425
73	5	187	3.188033	1.576085
67	71	138	2.171732	1.311131
77	111	100	2.170246	1.308838
83	45	186	2.135862	1.275739
123	45	143	3.161869	1.553531
97	25	198	3.138828	1.53367
57	25	193	3.359268	1.723689
77	25	196	3.182039	1.570918
73	5	127	2.191876	1.370137
133	125	1	2.724719	1.176708
103	45	195	3.359268	1.723689
83	165	127	2.76367	1.210284
87	85	191	2.866302	1.298752
83	65	103	2.998857	1.413015
33	45	118	3.245394	1.625529
87	85	144	3.031965	1.441554
27	151	14	3.252236	1.631427
127	165	104	3.051523	1.458413
107	85	153	2.143386	1.288985
77	111	113	2.989789	1.405198
73	91	151	3.042195	1.450372
123	45	129	3.182039	1.570918
77	111	85	2.177904	1.321268
97	25	150	2.156829	1.285858
53	125	110	2.841419	1.277303
93	5	97	2.212457	1.404491
107	111	145	2.772456	1.217857
83	65	89	3.151448	1.544548
103	45	129	3.159634	1.551605
107	85	137	2.184249	1.331654
7	31	15	2.152609	1.304866
83	65	85	3.277416	1.653133
57	25	125	2.964594	1.38348
67	71	194	2.78262	1.226618
87	85	97	3.173219	1.563315
83	165	129	2.781263	1.225449
83	165	129	2.781263	1.225449
107	131	86	3.397608	1.756738
107	85	86	2.190627	1.368124
93	105	198	3.093849	1.494898
83	65	152	3.008905	1.421676
67	71	125	3.019699	1.43098
93	5	88	3.249954	1.62946
57	25	89	3.180542	1.569627
133	125	160	3.233255	1.615066
143	51	14	2.177703	1.346733
107	131	191	3.010343	1.422916
127	85	165	2.166391	1.302042
73	91	144	2.200912	1.385436
27	5	153	2.16368	1.297506
107	111	144	2.744144	1.193452
77	111	145	2.156351	1.310924
53	5	183	3.122791	1.519846
67	71	154	2.165441	1.300425
73	91	193	2.750193	1.198666
87	85	92	3.336727	1.704258
97	25	94	3.368627	1.731757
127	85	101	3.393681	1.753353
83	165	104	2.1324	1.26977
113	5	17	3.313526	1.684259
53	5	135	2.139366	1.281839
127	85	148	3.212847	1.597474
123	45	195	2.77178	1.217274
73	91	188	2.592852	1.063038
107	85	136	2.172517	1.312362
73	5	121	3.052899	1.459599
143	51	2	3.152192	1.545189
33	45	190	3.118122	1.515822
113	5	20	3.298124	1.670983
127	85	9	3.29505	1.668333
83	165	145	3.064613	1.469696
53	125	109	2.824919	1.26308
83	165	166	2.164992	1.325596
87	85	81	3.371752	1.73445
67	71	135	2.164959	1.299616
63	45	180	3.007468	1.420438
107	111	188	2.894137	1.322746
107	111	128	2.967438	1.385932
83	65	97	2.18229	1.354364
143	15	0	3.329754	1.698248
77	111	150	3.121339	1.518594
53	5	171	3.112962	1.511373
113	5	193	3.001726	1.415488
143	51	11	3.281244	1.656432
43	85	114	3.049345	1.456536
127	85	198	2.716045	1.169231
43	85	163	3.260614	1.638649
107	131	94	3.238562	1.61964
33	45	81	3.145505	1.539425
57	25	139	2.880891	1.311328
83	165	175	3.110752	1.509468
127	165	141	3.082861	1.485426
103	45	83	2.989086	1.404592
33	45	179	3.020419	1.431601
87	85	165	2.69743	1.153184
93	5	111	3.250715	1.630116
93	125	192	2.813274	1.253042
27	5	16	2.159826	1.316931
57	25	124	3.091649	1.493001
77	25	129	3.085057	1.487319
83	165	195	2.917953	1.343275
133	125	167	3.248433	1.62815
43	85	137	3.154423	1.547113
107	111	165	2.195979	1.377033
77	25	192	2.146955	1.268789
53	5	158	3.090916	1.49237
107	111	139	2.888554	1.317934
127	85	114	3.16336	1.554817
103	65	85	3.110016	1.508834
53	5	81	3.068649	1.473176
73	191	1	3.060972	1.466558
127	85	11	2.190627	1.368124
73	5	181	3.305818	1.677615
93	125	188	2.977409	1.394526
33	45	122	2.15785	1.287654
107	191	24	3.311983	1.682929
73	5	102	3.393681	1.753353
93	105	195	2.877413	1.30833
113	5	157	2.246854	1.461917
127	85	18	3.132902	1.528561
127	85	168	3.151953	1.544983
73	91	147	2.158933	1.315345
93	5	163	2.166766	1.302687
87	85	154	3.019451	1.430767
7	191	19	2.149205	1.298858
73	91	86	2.182527	1.354775
107	111	134	3.02114	1.432223
7	75	1	2.950403	1.371247
97	25	175	2.135587	1.275279
103	45	184	3.154423	1.547113
93	125	163	2.156879	1.31181
103	65	143	2.21375	1.406874
93	125	130	3.138805	1.53365
123	45	13	3.186534	1.574792
107	171	180	3.10119	1.501226
27	95	16	2.128957	1.26343
63	45	172	2.946863	1.368196
53	125	18	3.379572	1.741191
133	125	174	3.132902	1.528561
127	165	89	2.165345	1.300264
77	25	81	3.096716	1.497369
133	125	195	2.924985	1.349337
27	5	125	3.160379	1.552247
53	5	150	2.773133	1.218441
27	5	19	2.184714	1.358663
83	45	97	3.132247	1.527997
67	71	106	2.148749	1.29804
77	25	88	2.178891	1.323001
103	65	136	2.186707	1.335618
143	65	14	3.261376	1.639306
77	25	167	3.077265	1.480603
53	125	137	2.956073	1.376135
57	25	171	3.153679	1.546471
67	71	195	2.592852	1.063038
107	111	154	2.829038	1.26663
77	111	135	3.189423	1.577282
77	111	197	2.648685	1.111166
53	125	106	2.889949	1.319136
53	5	195	2.243794	1.456277
97	25	187	2.167124	1.32905
133	125	193	3.001008	1.414869
97	25	106	3.266716	1.643909
53	5	128	2.159087	1.289891
27	5	139	2.871159	1.302939
123	45	95	2.162572	1.295716
43	85	183	2.116091	1.239875
83	65	192	2.881587	1.311928
43	85	194	2.849696	1.284438
83	165	124	2.737434	1.187668
43	85	154	2.184249	1.331654
43	85	149	2.153608	1.28044
43	85	136	3.094582	1.49553
127	85	5	2.156351	1.310924
133	125	19	3.062428	1.467813
107	131	104	3.010343	1.422916
67	71	124	3.00675	1.419819
67	71	143	2.139198	1.281535
73	91	115	3.156656	1.549037
73	91	182	2.601235	1.070265
107	191	18	2.147632	1.296075
93	125	102	2.181933	1.353748
127	165	145	3.11591	1.513914
123	45	99	2.165233	1.32598
87	85	102	2.162265	1.295227
73	191	13	3.047169	1.454659
63	45	118	2.177052	1.345696
37	191	7	2.994559	1.409309
37	191	4	2.184826	1.358868
127	85	10	3.259851	1.637992
77	25	184	2.144874	1.265289
87	85	187	2.867689	1.299948
127	85	91	3.275121	1.651154
53	125	150	2.19495	1.375259
77	25	83	3.140994	1.535537
107	131	158	3.145374	1.539312
83	45	133	3.080667	1.483535
77	25	121	3.177549	1.567047
107	85	164	3.018258	1.429738
77	111	130	2.159432	1.316226
83	65	112	3.056474	1.46268
107	171	165	3.165597	1.556745
127	85	178	2.130608	1.266397
93	125	90	2.19748	1.379688
53	125	125	2.165831	1.326941
133	125	169	3.042095	1.450286
93	5	192	2.130684	1.266538
133	125	170	3.018978	1.430359
77	111	128	2.135954	1.275892
73	191	10	2.121629	1.250147
43	85	126	3.060972	1.466558
57	25	135	3.00954	1.422223
107	85	170	3.264427	1.641936
113	5	171	2.143075	1.288488
43	85	165	3.269007	1.645884
83	45	121	3.395251	1.754707
127	85	160	2.159249	1.290189
33	45	138	2.890647	1.319738
7	31	17	2.171981	1.337427
77	111	179	2.903926	1.331185
107	111	195	3.024024	1.434709
63	45	117	2.188919	1.365433
107	85	125	2.666394	1.126432
77	25	164	2.182672	1.32919
77	111	105	2.16654	1.328092
127	85	147	3.221906	1.605283
97	25	189	2.12332	1.25329
57	25	100	3.251475	1.630772
33	45	103	2.165345	1.300264
113	5	13	3.32898	1.697581
103	45	114	3.06607	1.470952
83	65	145	3.189533	1.577378
83	65	103	2.998857	1.413015
107	171	138	2.978835	1.395756
127	85	142	3.219639	1.603329
43	85	8	2.184149	1.357642
103	65	192	2.820805	1.259534
83	165	92	2.182644	1.35498
103	65	97	3.091649	1.493001
87	85	134	2.913038	1.339039
7	191	6	2.130066	1.26541
93	105	102	2.165824	1.301072
93	125	86	3.101051	1.501106
93	105	93	3.074822	1.478497
127	165	171	2.202344	1.387627
43	85	88	2.165056	1.299778
87	85	151	2.868383	1.300546
57	25	88	3.188033	1.576085
93	105	130	2.757599	1.205051
107	111	157	2.973133	1.39084
83	65	100	3.141052	1.535587
83	65	110	3.149962	1.543267
27	95	6	2.204664	1.391267
67	71	84	2.175019	1.316392
87	85	98	2.171506	1.310778
27	5	196	3.074092	1.477867
83	45	93	3.262901	1.640621
77	111	131	2.141716	1.286224
93	105	81	2.998141	1.412397
53	125	135	2.215467	1.409494
93	5	168	2.166951	1.30301
93	5	116	3.015908	1.427713
107	131	176	2.183229	1.356005
83	45	146	3.070084	1.474412
123	45	105	2.858682	1.292184
33	45	113	2.183806	1.357028
107	131	160	3.173954	1.563949
93	105	125	2.668367	1.128133
107	131	114	2.919358	1.344487
77	111	112	2.945699	1.367193
73	5	125	2.15295	1.305402
57	25	123	2.894836	1.323348
123	45	119	3.077013	1.480385
27	5	98	3.296587	1.669658
93	125	83	3.273592	1.649836
67	71	97	3.098161	1.498615
67	71	92	2.187839	1.337498
123	45	98	3.003887	1.417351
127	165	157	3.121074	1.518366
67	71	183	2.163525	1.323284
123	45	2	3.394466	1.75403
77	25	179	2.168409	1.305584
97	25	188	2.142238	1.287159
83	65	185	2.920061	1.345093
83	45	132	3.092382	1.493633
77	25	80	3.173219	1.563315
133	125	185	3.051523	1.458413
43	85	195	2.815327	1.254812
53	125	160	2.994559	1.409309
83	65	180	2.971708	1.389613
93	5	185	2.177703	1.346733
57	25	108	3.249954	1.62946
83	65	188	2.873242	1.304735
87	85	93	3.358488	1.723017
97	25	115	3.21511	1.599425
53	125	132	2.165831	1.326941
107	85	147	2.198575	1.381673
27	5	96	3.262901	1.640621
143	71	22	2.211929	1.403536
67	71	152	2.167229	1.303493
57	25	198	3.221906	1.605283
63	45	93	3.273592	1.649836
53	125	92	2.951111	1.371858
33	45	102	2.176484	1.318834
123	45	120	2.802347	1.243623
53	125	169	2.807806	1.248329
73	91	113	2.13903	1.281231
107	131	178	2.182409	1.35457
93	5	114	3.233255	1.615066
83	65	127	3.248433	1.62815
107	131	166	2.183692	1.356824
7	191	4	2.173832	1.3407
107	131	179	2.139866	1.282749
83	45	184	2.126555	1.259309
27	5	20	3.360826	1.725032
83	65	140	3.246913	1.626839
67	71	122	2.777873	1.222527
27	95	15	3.176053	1.565758
133	125	187	2.986689	1.402526
73	191	0	2.240762	1.450921
83	165	96	3.168811	1.559515
53	125	178	2.16175	1.294411
107	171	90	3.054428	1.460917
133	125	186	3.18129	1.570272
27	5	15	2.150889	1.301954
133	125	131	3.040646	1.449037
93	105	80	3.156656	1.549037
67	71	139	2.170477	1.309192
123	45	19	3.262138	1.639963
77	25	160	2.158762	1.289295
83	65	184	2.788731	1.231886
103	65	174	2.770427	1.216108
133	125	130	3.034134	1.443423
113	5	129	2.16358	1.297343
93	105	120	2.686174	1.143482
57	25	113	3.364725	1.728393
107	131	100	3.228712	1.61115
53	125	23	3.35226	1.717648
113	5	107	3.015378	1.427256
93	105	147	2.166068	1.327325
43	85	144	2.15131	1.276693
93	125	129	2.151239	1.276555
43	85	104	3.289676	1.663701
33	45	104	2.172961	1.313064
107	171	161	3.278947	1.654452
83	45	115	3.121813	1.519002
123	45	109	3.057335	1.463423
83	165	176	3.147733	1.541345
107	111	85	3.218884	1.602678
143	65	0	3.235529	1.617026
127	165	111	3.291211	1.665024
17	115	21	2.181453	1.352926
133	125	119	2.121119	1.249227
87	85	148	2.754904	1.202728
83	45	196	3.016098	1.427876
133	125	146	3.018258	1.429738
133	125	100	3.29505	1.668333
27	5	145	2.152954	1.279381
93	5	155	2.162368	1.29539
123	45	165	2.836599	1.273149
53	5	85	2.180724	1.351691
103	45	141	2.174913	1.316217
93	125	100	2.242698	1.454307
93	105	94	3.090183	1.491738
143	15	9	2.185973	1.360928
73	5	153	2.171981	1.337427
33	45	153	2.17986	1.350248
93	5	167	2.171506	1.310778
113	5	189	2.974558	1.392069
127	85	87	3.297356	1.670321
107	85	177	3.133642	1.529199
53	125	162	2.913038	1.339039
103	45	156	3.272063	1.648518
127	165	172	2.182644	1.35498
33	45	199	2.160811	1.292939
133	125	138	3.082861	1.485426
143	65	23	3.022582	1.433465
113	5	174	3.112962	1.511373
57	25	96	3.304279	1.676288
107	111	173	2.157815	1.313403
97	25	156	3.123518	1.520473
93	105	199	2.872548	1.304136
103	65	106	2.877413	1.30833
107	85	173	3.114436	1.512644
53	5	145	3.013219	1.425395
107	171	107	2.119004	1.245533
73	5	85	3.472058	1.820914
127	165	150	3.162615	1.554174
57	25	104	3.360047	1.72436
17	115	10	3.164106	1.555459
107	85	84	3.221269	1.604734
127	85	110	3.068256	1.472837
77	111	187	2.660481	1.121335
63	45	141	2.171666	1.336859
107	111	87	3.098252	1.498693
83	45	106	2.160811	1.292939
103	45	144	2.161647	1.294247
107	191	25	2.18834	1.364534
37	165	1	3.248433	1.62815
57	25	185	2.870465	1.302341
93	5	115	3.070802	1.475031
107	171	97	3.08158	1.484322
7	31	9	3.294282	1.667671
93	125	186	3.046443	1.454034
107	131	182	3.063884	1.469068
107	171	169	3.209079	1.594226
107	191	23	3.268243	1.645226
73	91	131	2.137564	1.278644
97	25	82	3.032688	1.442177
97	25	149	2.149695	1.273655
53	5	106	2.164373	1.298643
73	5	164	3.178297	1.567692
57	25	84	3.269007	1.645884
133	125	82	3.206819	1.592278
53	125	138	2.904627	1.331788
37	165	25	3.184286	1.572854
83	45	195	3.026188	1.436574
93	5	143	2.149316	1.272962
83	65	160	2.941912	1.363928
57	25	117	3.393681	1.753353
127	165	82	2.171393	1.310602
43	85	150	2.165728	1.300911
123	45	3	3.281244	1.656432
87	85	83	3.35226	1.717648
143	15	4	2.221975	1.419745
107	131	165	2.159133	1.315698
73	91	128	3.007419	1.420395
93	125	105	2.11707	1.24181
127	85	146	3.262138	1.639963
103	65	112	3.011661	1.424052
127	85	20	3.185784	1.574146
103	45	112	3.179045	1.568337
53	5	97	3.426771	1.781877
123	45	114	3.042095	1.450286
113	5	92	3.265953	1.643251
83	65	80	3.251475	1.630772
53	5	129	2.166297	1.30188
27	151	20	2.185382	1.359888
107	85	199	2.892043	1.320941
97	25	101	3.340605	1.707602
103	65	181	2.976696	1.393912
113	5	83	3.167836	1.558674
73	5	111	3.118434	1.51609
127	165	147	3.018258	1.429738
107	131	103	3.060245	1.465931
123	45	22	3.176801	1.566402
123	45	7	2.189063	1.365657
103	45	172	3.112225	1.510738
93	125	93	2.168272	1.330962
53	5	144	3.06607	1.470952
123	45	151	3.024024	1.434709
73	91	156	2.16338	1.297018
83	165	135	2.81259	1.252453
127	85	159	3.147566	1.541202
107	111	117	2.866302	1.298752
97	25	96	3.368627	1.731757
107	111	96	3.071519	1.47565
93	125	84	3.120612	1.517968
27	5	95	3.266716	1.643909
33	45	161	2.169616	1.33325
143	71	10	3.191784	1.579318
73	5	131	2.165473	1.326365
87	85	168	2.593496	1.063593
103	45	155	2.201393	1.386167
87	85	163	2.81738	1.256582
123	45	127	3.055155	1.461543
33	45	144	2.158933	1.315345
83	165	84	3.16074	1.552558
143	65	17	2.170382	1.334582
53	125	0	2.158833	1.315169
127	85	156	3.189533	1.577378
103	65	132	3.040646	1.449037
103	45	174	3.155167	1.547754
133	125	142	2.909531	1.336016
43	85	162	3.266716	1.643909
93	5	174	2.158925	1.289593
73	191	25	2.210718	1.401383
133	125	144	2.784656	1.228373
113	5	155	2.154952	1.308613
67	71	93	2.172517	1.312362
7	75	20	2.171876	1.337238
33	45	151	2.186721	1.362057
107	131	185	3.17381	1.563825
77	111	158	2.149566	1.299511
107	171	190	3.0617	1.467186
107	111	150	2.785335	1.228958
143	65	2	2.168724	1.331726
73	5	108	3.278181	1.653792
93	5	104	3.188033	1.576085
43	85	132	3.152192	1.545189
107	171	166	3.211339	1.596175
67	71	150	3.067215	1.471939
127	85	100	3.378789	1.740516
97	25	118	3.14699	1.540705
83	65	138	3.209832	1.594875
107	85	124	2.651303	1.113423
27	5	23	3.388973	1.749295
83	45	109	2.152766	1.279078
97	25	180	2.198933	1.382334
107	191	22	3.097518	1.49806
53	125	127	2.150012	1.300326
77	111	80	3.056474	1.46268
83	65	93	2.172294	1.31201
77	111	148	2.178089	1.347354
73	91	168	2.156245	1.310746
133	125	157	3.059517	1.465304
107	171	104	2.129038	1.263572
93	5	132	3.180542	1.569627
53	125	103	2.981689	1.398216
93	125	126	2.678909	1.137219
123	45	9	2.194165	1.373926
33	45	131	3.068649	1.473176
77	25	176	3.08158	1.484322
83	45	98	3.138076	1.533022
43	85	197	2.908129	1.334807
7	75	15	3.090916	1.49237
103	45	191	3.377224	1.739167
57	25	85	3.219639	1.603329
133	125	15	2.131665	1.268367
83	65	122	3.268243	1.645226
123	45	111	3.02114	1.432223
93	105	158	2.751539	1.199826
133	125	114	3.070084	1.474412
103	45	82	2.957549	1.377407
27	151	7	3.35226	1.717648
7	75	18	2.13869	1.280624
93	125	115	2.698093	1.153756
93	5	139	3.083019	1.485563
83	45	136	3.191784	1.579318
77	111	121	2.858682	1.292184
107	171	154	3.318156	1.688251
83	165	159	2.158933	1.315345
103	65	133	3.159634	1.551605
83	65	172	2.90883	1.335411
93	125	169	2.187314	1.362958
133	125	198	2.93838	1.360883
43	85	131	3.053702	1.460291
133	125	165	3.096784	1.497427
83	45	96	3.209079	1.594226
83	45	143	3.024024	1.434709
93	105	146	2.131814	1.268648
77	25	158	2.178597	1.322481
143	65	3	2.212849	1.405206
87	85	147	2.153701	1.280591
127	165	88	2.176587	1.319008
77	25	148	2.159826	1.316931
83	65	87	3.353038	1.718319
127	165	106	3.190283	1.578024
43	85	159	2.15191	1.277713
133	125	132	2.906728	1.333599
73	5	91	3.37097	1.733777
127	85	163	2.154161	1.281346
83	45	108	2.159249	1.290189
77	111	103	2.165592	1.326557
57	25	86	3.32898	1.697581
83	65	82	3.269771	1.646542
73	5	170	3.271299	1.64786
57	25	128	2.779229	1.223695
93	125	185	2.980976	1.397601
123	45	149	3.069714	1.474094
133	125	80	3.262138	1.639963
107	171	127	3.024745	1.43533
43	85	167	3.018978	1.430359
113	5	179	3.18129	1.570272
127	85	85	3.359268	1.723689
107	131	159	3.16074	1.552558
107	171	108	2.131665	1.268367
37	165	14	3.098986	1.499326
107	191	11	2.97527	1.392683
73	5	150	2.140195	1.283354
83	165	143	2.971708	1.389613
97	25	117	3.102659	1.502492
107	131	167	2.170055	1.334012
43	85	179	2.103356	1.214901
57	25	103	3.374878	1.737145
133	125	12	3.095316	1.496162
127	165	115	2.156743	1.285708
83	65	139	3.133642	1.529199
27	5	6	2.183229	1.356005
73	91	112	2.143591	1.289317
27	95	21	2.195209	1.375703
83	165	108	2.14148	1.285772
77	111	104	2.134283	1.273129
43	85	94	3.167836	1.558674
133	125	140	3.096784	1.497427
93	5	161	2.168765	1.306226
53	125	117	2.597364	1.066927
63	45	146	2.172085	1.337617
127	165	127	3.046443	1.454034
93	5	110	3.212847	1.597474
133	125	150	2.93485	1.357841
103	65	145	2.183113	1.3558
43	85	83	2.150366	1.274899
83	165	171	2.207339	1.395617
127	85	187	2.864223	1.29696
103	65	155	2.190486	1.3679
33	45	0	3.16709	1.558031
123	45	166	2.758273	1.205632
63	45	195	2.865609	1.298155
103	45	180	3.067527	1.472208
83	65	93	2.172294	1.31201
93	125	178	3.034857	1.444047
107	191	3	3.022582	1.433465
63	45	81	2.160389	1.292284
33	45	2	3.099721	1.499959
107	111	194	2.927801	1.351765
113	5	2	3.160379	1.552247
103	45	171	3.06607	1.470952
103	65	100	2.788051	1.2313
27	5	109	3.311212	1.682265
33	45	6	2.930619	1.354194
103	65	161	2.864916	1.297557
73	91	104	2.184607	1.332222
103	45	177	2.963173	1.382255
83	165	119	2.170477	1.309192
77	111	110	2.104564	1.217401
107	85	85	2.227411	1.42911
53	5	131	3.067215	1.471939
143	71	8	3.292746	1.666347
43	85	96	3.278181	1.653792
123	45	139	3.09605	1.496795
133	125	91	3.296587	1.669658
123	45	21	3.134383	1.529838
93	5	156	2.168853	1.306386
103	65	199	2.825605	1.263672
73	5	179	3.349149	1.714967
143	71	7	3.277416	1.653133
83	65	141	3.112225	1.510738
103	65	190	2.992411	1.407458
77	25	130	3.085788	1.48795
123	45	118	3.046443	1.454034
77	111	147	2.195209	1.375703
77	111	102	2.169284	1.332679
87	85	113	3.078703	1.481842
107	111	183	2.907428	1.334203
103	45	85	2.160917	1.293103
93	5	151	3.04362	1.451601
27	5	188	3.14402	1.538145
53	125	134	2.183345	1.35621
93	5	152	3.052185	1.458983
107	111	192	3.021861	1.432844
87	85	105	2.178103	1.321615
77	25	165	2.170246	1.308838
107	85	102	3.260614	1.638649
127	165	179	2.156669	1.311456
133	125	94	3.272827	1.649177
127	165	102	3.276651	1.652473
127	165	188	2.805076	1.245975
107	111	190	2.970284	1.388385
73	91	161	2.148657	1.297877
53	125	161	2.886463	1.316131
107	85	155	2.189779	1.366779
53	125	99	2.91725	1.34267
83	65	181	3.006032	1.4192
113	5	99	3.325111	1.694246
73	91	190	2.659169	1.120203
63	45	170	2.169616	1.33325
97	25	119	3.047169	1.454659
83	45	116	3.006032	1.4192
63	45	105	3.281244	1.656432
93	125	181	2.97527	1.392683
77	111	194	2.69942	1.1549
97	25	159	2.187314	1.362958
27	5	0	2.139948	1.2829
83	45	164	2.146052	1.267252
113	5	186	3.047169	1.454659
37	165	12	2.147348	1.295583
143	15	23	2.786693	1.230129
113	5	172	3.175305	1.565113
103	65	126	2.922171	1.346911
107	131	124	2.595429	1.06526
53	125	190	2.149566	1.299511
113	5	11	3.42282	1.77847
107	171	122	2.973845	1.391454
83	65	81	3.325111	1.694246
83	65	179	3.06607	1.470952
27	5	193	3.218884	1.602678
63	45	121	3.032688	1.442177
107	85	101	3.269771	1.646542
103	45	186	3.10119	1.501226
127	165	113	3.274356	1.650495
97	25	139	3.032229	1.441781
107	171	150	3.284308	1.659074
83	65	109	3.009624	1.422296
57	25	151	2.878108	1.308929
107	191	19	2.18229	1.354364
93	5	92	2.168765	1.306226
53	125	158	3.218129	1.602027
43	85	155	2.174485	1.315518
53	125	123	2.156774	1.311633
133	125	110	3.098252	1.498693
143	51	23	2.199289	1.382994
83	165	115	3.212847	1.597474
27	151	15	3.304279	1.676288
97	25	126	3.06607	1.470952
53	5	83	2.181694	1.353337
77	25	156	2.179949	1.324903
53	5	132	2.153289	1.305938
107	171	196	3.065341	1.470324
73	5	88	3.402325	1.760804
63	45	169	2.152723	1.305044
93	5	159	2.170362	1.309015
